ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目,
9788-877549327,81395,2024/09/13,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 21200w,False,,,,False,,,,False,False,True,,
9788-877549327,81396,2024/09/13,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 21200w,False,,,,False,,,,False,False,True,,
9788-853001764,81397,2024/09/13,Gothic short stories,,,,Reading and training  Step 5 B2.2,,W. W. Jacobs ... [et al.],,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 11800w,False,,,,False,,,,False,False,True,,
9788-853001764,81398,2024/09/13,Gothic short stories,,,,Reading and training  Step 5 B2.2,,W. W. Jacobs ... [et al.],,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 11800w,False,,,,False,,,,False,False,True,,
9788-853001764,81399,2024/09/13,Gothic short stories,,,,Reading and training  Step 5 B2.2,,W. W. Jacobs ... [et al.],,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 11800w,False,,,,False,,,,False,False,True,,
9788-877549754,81400,2024/09/13,Emma,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 14000w,False,,,,False,,,,False,False,True,,
9788-877549754,81401,2024/09/13,Emma,,,,Reading and training  Step 5 B2.2,Step 5 B2.2,Jane Austen,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5 14000w,False,,,,False,,,,False,False,True,,
9788-853001351,81402,2024/09/13,Pride and prejudice,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 4.5 200000w,False,,,,False,,,,False,False,True,,
9788-853001351,81403,2024/09/13,Pride and prejudice,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 4.5 200000w,False,,,,False,,,,False,False,True,,
9788-853001351,81404,2024/09/13,Pride and prejudice,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 200000w,False,,,,False,,,,False,False,True,,
9788-877545602,81405,2024/09/13,Board games,,,,Reading and training  intermediate,,James Butler,,,837.7,RE,,Black Cat,2000,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 11000w,False,,,,False,,,,False,False,True,,
9788-877545602,81406,2024/09/13,Board games,,,,Reading and training  intermediate,,James Butler,,,837.7,RE,,Black Cat,2000,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 11000w,False,,,,False,,,,False,False,True,,
9788-853006387,81407,2024/09/13,The Canterbury tales,,,,Reading and training  step 4  B2.1,,Geoffrey Chaucer,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL3.5-4.5 9700w,False,,,,False,,,,False,False,True,,
9788-853004833,81408,2024/09/13,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL4.5 11400w,False,,,,False,,,,False,False,True,,
9788-853004833,81409,2024/09/13,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL4.5 11400w,False,,,,False,,,,False,False,True,,
9788-853004833,81410,2024/09/13,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL4.5 11400w,False,,,,False,,,,False,False,True,,
9788-853004833,81411,2024/09/13,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL3.5-4.5 11400w,False,,,,False,,,,False,False,True,,
9788-877546012,81412,2024/09/13,Great expectations,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 21000w,False,,,,False,,,,False,False,True,,
9788-877546012,81413,2024/09/17,Great expectations,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 21000w,False,,,,False,,,,False,False,True,,
9788-877546012,81414,2024/09/17,Great expectations,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5 21000w,False,,,,False,,,,False,False,True,,
9788-853000255,81415,2024/09/17,A Christmas Carol,,,,Reading and training  pre-intermediate  step 4,,Charles Dickens,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR4 YL4.5 9000w,False,,,,False,,,,False,False,True,,
9788-853000255,81416,2024/09/17,A Christmas Carol,,,,Reading and training  pre-intermediate  step 4,,Charles Dickens,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR4 YL4.5 9000w,False,,,,False,,,,False,False,True,,
9788-853000255,81417,2024/09/17,A Christmas Carol,,,,Reading and training  pre-intermediate  step 4,,Charles Dickens,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR4 YL4.5 9000w,False,,,,False,,,,False,False,True,,
9788-853000255,81418,2024/09/17,A Christmas Carol,,,,Reading and training  pre-intermediate  step 4,,Charles Dickens,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR4 YL4.5 9000w,False,,,,False,,,,False,False,True,,
9788-877549341,81419,2024/09/17,Silas Marner,,,,Reading and training  Step6　C1,,George Eliot,,,837.7,RE,,Black Cat,2003,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547590,81420,2024/09/17,The problem of cell 13,,,,Reading and training  intermediate,,Jacques Futrelle,,,837.7,RE,,Black Cat,1999,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000903,81421,2024/09/17,The scarlet letter,,,,Reading and training  intermediate,,Nathaniel Hawthorne ,,,837.7,RE,,Black Cat,2004,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003331,81422,2024/09/17,Pamela,,,,Reading and training  Step 5 B2.2,,Samuel Richardson,,,837.7,RE,,Black Cat,2006,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003331,81423,2024/09/17,Pamela,,,,Reading and training  Step 5 B2.2, ,Samuel Richardson,,,837.7,RE,,Black Cat,2006,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003331,81424,2024/09/17,Pamela,,,,Reading and training  Step 5 B2.2, ,Samuel Richardson,,,837.7,RE,,Black Cat,2006,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549327,81425,2024/09/17,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549327,81426,2024/09/17,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000903,81427,2024/09/18,The scarlet letter,,,,Reading and training  Step5 B2.2,,Nathaniel Hawthorne,,,837.7,RE,,Black Cat,2004,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000903,81428,2024/09/18,The scarlet letter,,,,Reading and training  Step5 B2.2,,Nathaniel Hawthorne,,,837.7,RE,,Black Cat,2004,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001337,81429,2024/09/18,Washington Square,,,,Reading and training  pre-intermediate,,Henry James,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001337,81430,2024/09/18,Washington Square,,,,Reading and training  pre-intermediate,,Henry James,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547972,81431,2024/09/18,Le morte d'Arthur,,,,Reading and training  pre-intermediate,,Sir Thomas Malory,,,837.7,RE,,Black Cat,2002,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547972,81432,2024/09/18,Le morte d'Arthur,,,,Reading and training  pre-intermediate,,Sir Thomas Malory,,,837.7,RE,,Black Cat,2002,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547972,81433,2024/09/18,Le morte d'Arthur,,,,Reading and training  pre-intermediate,,Sir Thomas Malory,,,837.7,RE,,Black Cat,2002,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547965,81434,2024/09/18,The tragedy of Dr Faustus,,,,Reading and training  pre-intermediate,,Christopher Marlowe,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547965,81435,2024/09/18,The tragedy of Dr Faustus,,,,Reading and training  pre-intermediate,,Christopher Marlowe,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547965,81436,2024/09/18,The tragedy of Dr Faustus,,,,Reading and training  pre-intermediate,,Christopher Marlowe,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547965,81437,2024/09/18,The tragedy of Dr Faustus,,,,Reading and training  pre-intermediate,,Christopher Marlowe,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000217,81438,2024/09/18,American horror : three terrifying tales,,,,Reading and training  pre-intermediate,,Edgar Allan Poe,,,837.7,RE,,Black Cat,2003,110p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000217,81439,2024/09/18,American horror : three terrifying tales,,,,Reading and training  Step4 B2.1,Step4 B2.1,Edgar Allan Poe,,,837.7,RE,,Black Cat,2003,110p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000217,81440,2024/09/18,American horror : three terrifying tales,,,,Reading and training  Step4 B2.1,Step4 B2.1,Edgar Allan Poe,,,837.7,RE,,Black Cat,2003,110p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853010223,81441,2024/09/18,American horror,,,,Reading and training  step 4 B2.1,,Edgar Allan Poe,,,837.7,RE,,Black Cat,2010,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853010223,81442,2024/09/18,American horror,,,,Reading and training  step 4 B2.1,,Edgar Allan Poe,,,837.7,RE,,Black Cat,2010,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000378,81443,2024/09/18,The picture of Dorian Gray,,,,Reading and training  intermediate,,Oscar Wilde,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000279,81444,2024/09/18,Dracula,,,,Reading and training  pre-intermediate  step 4,,Bram Stoker,,,837.7,RE,,Black Cat,2003,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000279,81445,2024/09/18,Dracula,,,,Reading and training  pre-intermediate  step 4,,Bram Stoker,,,837.7,RE,,Black Cat,2003,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001405,81446,2024/09/19,Wicked and humorous tales,,,,Reading and training  pre-intermediate  step 4,,Saki,,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547958,81447,2024/09/19,Beowulf,,,,Reading and training  pre-intermediate,,Victoria Spence,,,837.7,RE,,Black Cat,2002,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547958,81448,2024/09/19,Beowulf,,,,Reading and training  pre-intermediate,,Victoria Spence,,,837.7,RE,,Black Cat,2002,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547958,81449,2024/09/19,Beowulf,,,,Reading and training  pre-intermediate,,Victoria Spence,,,837.7,RE,,Black Cat,2002,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853004833,81450,2024/09/19,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL3.5-4.5 11400w,False,,,,False,,,,False,False,True,,
9788-853003201,81451,2024/09/19,Jack the Ripper,,,,Reading and training  pre-intermediate  step 4　B2.1,,Peter Foreman,,,837.7,RE,,Black Cat,2005,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000279,81452,2024/09/19,Dracula,,,,Reading and training  pre-intermediate  step 4,,Bram Stoker,,,837.7,RE,,Black Cat,2003,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001405,81453,2024/09/19,Wicked and humorous tales,,,,Reading and training  pre-intermediate  step 4,,Saki,,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001405,81454,2024/09/19,Wicked and humorous tales,,,,Reading and training  pre-intermediate  step 4,,Saki,,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001405,81455,2024/09/19,Wicked and humorous tales,,,,Reading and training  pre-intermediate  step 4,,Saki,,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549297,81456,2024/09/19,Tom Jones,,,,Reading and training  pre-intermediate,,Henry Fielding,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547972,81457,2024/09/19,Le morte d'Arthur,,,,Reading and training  pre-intermediate,,Sir Thomas Malory,,,837.7,RE,,Black Cat,2002,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003201,81458,2024/09/19,Jack the Ripper,,,,Reading and training  pre-intermediate  step 4　B2.1,,Peter Foreman,,,837.7,RE,,Black Cat,2005,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003201,81459,2024/09/19,Jack the Ripper,,,,Reading and training  pre-intermediate  step 4　B2.1,,Peter Foreman,,,837.7,RE,,Black Cat,2005,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003201,81460,2024/09/19,Jack the Ripper,,,,Reading and training  pre-intermediate  step 4　B2.1,,Peter Foreman,,,837.7,RE,,Black Cat,2005,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853006103,81461,2024/09/19,Moby Dick,,,,Reading and training  Step 4,,Herman Melville,,,837.7,RE,,Black Cat,2007,127p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853006103,81462,2024/09/19,Moby Dick,,,,Reading and training  Step 4,,Herman Melville,,,837.7,RE,,Black Cat,2007,127p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549297,81463,2024/09/19,Tom Jones,,,,Reading and training  pre-intermediate,,Henry Fielding,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549297,81464,2024/09/19,Tom Jones,,,,Reading and training  pre-intermediate,,Henry Fielding,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549297,81465,2024/09/19,Tom Jones,,,,Reading and training  pre-intermediate,,Henry Fielding,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853006103,81466,2024/09/19,Moby Dick,,,,Reading and training  Step 4　B2.1,,Herman Melville,,,837.7,RE,,Black Cat,2007,127p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547750,81467,2024/09/19,The big mistake and other stories,,,,Reading and training  pre-intermediate,,Nella Burnett-Stuart  Bruna Deriu,,,837.7,RE,,Black Cat,1998,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547750,81468,2024/09/19,The big mistake and other stories,,,,Reading and training  Step 4 B2.1,,Nella Burnett-Stuart  Bruna Deriu,,,837.7,RE,,Black Cat,1998,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877546418,81469,2024/09/19,Frankenstein,,,,Reading and training,,Mary Shelley,,,837.7,RE,,Black Cat,1997,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877546418,81470,2024/09/19,Frankenstein,,,,Reading and training,,Mary Shelley,,,837.7,RE,,Black Cat,1997,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547972,81471,2024/09/19,Le morte d'Arthur,,,,Reading and training  Step4 B2.1,,Sir Thomas Malory,,,837.7,RE,,Black Cat,2002,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003201,81472,2024/09/19,Jack the Ripper,,,,Reading and training  pre-intermediate  step 4　B2.1,,Peter Foreman,,,837.7,RE,,Black Cat,2005,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877548603,81473,2024/09/19,A tale of two cities,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5　13700words,False,,,,False,,,,False,False,True,,
9788-853001764,81474,2024/09/19,Gothic short stories,,,,Reading and training  intermediate,,W. W. Jacobs ... [et al.],,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 11800w,False,,,,False,,,,False,False,True,,
9788-853001702,81475,2024/09/19,Sons and lovers,,,,Reading and training  intermediate,,D. H. Lawrence,,,837.7,RE,,Black Cat,2005,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 15300words,False,,,,False,,,,False,False,True,,
9788-853001641,81476,2024/09/19,Famous British criminals from The Newgate calendar,,,,Reading and training  step 4 B2.1,,Victoria Spence,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001641,81477,2024/09/19,Famous British criminals from The Newgate calendar,,,,Reading and training  pre-intermediate  step 4,,Victoria Spence,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547590,81478,2024/09/19,The problem of cell 13,,,,Reading and training  intermediate,,Jacques Futrelle,,,837.7,RE,,Black Cat,1999,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547590,81479,2024/09/19,The problem of cell 13,,,,Reading and training  intermediate,,Jacques Futrelle,,,837.7,RE,,Black Cat,1999,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547590,81480,2024/09/19,The problem of cell 13,,,,Reading and training  intermediate,,Jacques Futrelle,,,837.7,RE,,Black Cat,1999,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547590,81481,2024/09/19,The problem of cell 13,,,,Reading and training  intermediate,,Jacques Futrelle,,,837.7,RE,,Black Cat,1999,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000231,81482,2024/09/19,The Canterbury tales,,,,Reading and training  pre-intermediate  step 4,,Geoffrey Chaucer,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000231,81483,2024/09/19,The Canterbury tales,,,,Reading and training  pre-intermediate  step 4,,Geoffrey Chaucer,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003133,81484,2024/09/19,The secret agent,,,,Reading and training  Step 4,,Joseph Conrad,,,837.7,RE,,Black Cat,2006,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003133,81485,2024/09/19,The secret agent,,,,Reading and training  Step 4 B2.1,,Joseph Conrad,,,837.7,RE,,Black Cat,2006,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000293,81486,2024/09/19,The last of the Mohicans,,,,Reading and training  pre-intermediate  step 4 B2.1,,James Fenimore Cooper,,,837.7,RE,,Black Cat,2003,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000293,81487,2024/09/19,The last of the Mohicans,,,,Reading and training  pre-intermediate  step 4 B2.1,,James Fenimore Cooper,,,837.7,RE,,Black Cat,2003,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000293,81488,2024/09/19,The last of the Mohicans,,,,Reading and training  pre-intermediate  step 4 B2.1,,James Fenimore Cooper,,,837.7,RE,,Black Cat,2003,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000293,81489,2024/09/19,The last of the Mohicans,,,,Reading and training  pre-intermediate  step 4 B2.1,,James Fenimore Cooper,,,837.7,RE,,Black Cat,2003,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000354,81490,2024/09/19,Frankenstein,,,,Reading and training  intermediate,,Mary Shelley,,,837.7,RE,,Black Cat,2003,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000354,81491,2024/09/19,Frankenstein,,,,Reading and training  intermediate,,Mary Shelley,,,837.7,RE,,Black Cat,2003,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000354,81492,2024/09/19,Frankenstein,,,,Reading and training  intermediate,,Mary Shelley,,,837.7,RE,,Black Cat,2003,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000354,81493,2024/09/19,Frankenstein,,,,Reading and training  intermediate,,Mary Shelley,,,837.7,RE,,Black Cat,2003,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001641,81494,2024/09/19,Famous British criminals from The Newgate calendar,,,,Reading and training  pre-intermediate  step 4 B2.1,,Victoria Spence,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001641,81495,2024/09/19,Famous British criminals from The Newgate calendar,,,,Reading and training  step 4 B2.1,,Victoria Spence,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853002952,81496,2024/09/20,A study in scarlet,,,,Reading and training  Step 4,,Sir Arthur Conan Doyle,,,837.7,RE,,Black Cat,2006,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853002952,81497,2024/09/20,A study in scarlet,,,,Reading and training  Step 4　B2.1,,Sir Arthur Conan Doyle,,,837.7,RE,,Black Cat,2006,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853004130,81498,2024/09/20,Daisy Miller,,,,Reading and training  Step 4　B2.1,,Henry James,,,837.7,RE,,Black Cat,2006,94p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000378,81499,2024/09/20,The picture of Dorian Gray,,,,Reading and training  intermediate,,Oscar Wilde,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000378,81500,2024/09/20,The picture of Dorian Gray,,,,Reading and training  intermediate,,Oscar Wilde,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
